policy_id,location_zone,loc_off,roof_age,mat_r,home_age,cnst_r,prior_water_claim,months_since_water,rec_f,coverage_a,rcv_ratio,rcv_os,prior_claims_5yr,ins_lapses,pool_r,trampoline,biz_r,sprnk_v,monitored_alarm,gated_community,wood_stove,recent_reno,pet_ownership,building_code_comply,fire_hydrant_dist,iso_class,crime_idx,wildfire_score,wildfire_zone,canopy_pct,flood_zone,flood_depth_in,slope_deg,hail_zone,burn_history,fnd_r,ix_roof_wildfire,ix_water_canopy,ix_rcv_crime,ix_flood_foundation,ix_slope_burn,ix_roof_hail,eta_t1,eta_glm,delta_gam,eta_final,final_risk_score,expected_loss,decision
HO-2024000,CO-Mixed,0.07,4,3,16,1,0,999,0,205887,1.102,0,1,0,0,0,1,-2,1,1,0,0,1,1,3.69,2,37.2,36.8,0,15.7,0,0.0,7.42,1,0,2,0,0,0,0,0,0,8.6848,8.7151,0.026,8.7259,27.26,1547.0,Preferred
HO-2024001,MN-North,-0.22,7,3,14,2,0,999,0,473835,1.009,0,0,1,0,0,1,-2,0,0,0,0,0,1,1.37,1,43.2,21.8,0,36.9,0,0.0,4.25,1,0,0,0,0,0,0,0,0,8.4952,8.5632,0.0191,8.6035,25.11,1451.0,Preferred
HO-2024002,AZ-Desert,-0.11,21,3,43,3,0,999,0,416322,1.045,0,0,0,2,0,0,0,0,0,0,0,0,0,3.88,2,28.6,41.0,0,36.7,0,0.0,9.62,0,0,0,0,0,0,0,0,0,9.3768,9.546,0.0312,9.5963,42.62,2434.0,Standard
HO-2024003,NY-NE,-0.03,7,3,27,2,0,999,0,548429,1.08,0,3,1,2,0,2,0,1,0,0,1,0,0,6.95,4,49.7,7.8,0,49.8,0,0.0,7.98,0,0,0,0,0,0,0,0,0,8.8424,9.8897,0.0255,9.9933,49.62,2993.0,Standard
HO-2024004,TX-Hail,0.13,28,2,53,3,0,999,0,358423,1.04,0,0,3,0,0,0,0,1,1,0,0,1,0,7.35,4,38.7,11.6,0,37.9,0,0.0,14.5,1,0,0,0,0,0,0,0,1,9.8757,10.2628,0.1062,10.3591,56.07,3621.0,Standard
HO-2024005,TX-Hail,0.13,17,0,18,3,0,999,0,395102,1.103,0,1,0,1,0,0,0,1,0,0,0,1,1,5.76,3,30.1,18.7,0,22.0,1,5.58,15.26,1,0,2,0,0,0,1,0,0,9.0599,9.2935,0.1339,9.438,39.82,2241.0,Standard
HO-2024006,CA-Wildfire,0.22,18,2,27,2,0,999,0,168965,1.026,0,0,1,0,0,0,0,1,0,0,0,1,0,14.78,8,23.0,91.3,1,21.9,0,0.0,20.23,0,0,2,0,0,0,0,0,0,9.3385,9.6211,0.05,9.6685,43.89,2527.0,Standard
HO-2024007,GA-SE,-0.18,15,0,20,3,1,34,1,496968,0.951,0,1,0,0,0,2,-1,0,0,0,0,1,1,6.3,4,59.3,17.5,0,42.1,0,0.0,10.85,0,0,0,0,0,0,0,0,0,8.8721,9.2767,0.03,9.3367,38.04,2126.0,Standard
HO-2024008,NY-NE,-0.03,24,1,39,3,0,999,0,388779,1.057,0,2,0,1,0,0,0,1,0,0,0,1,0,6.19,4,54.0,8.6,0,21.0,1,3.09,12.02,0,0,2,0,0,0,1,0,0,9.39,9.9221,0.1294,9.9958,49.66,2997.0,Standard
HO-2024009,AZ-Desert,-0.11,25,2,34,3,0,999,0,362612,0.987,0,1,0,0,0,1,-2,1,0,0,0,1,0,9.57,5,42.3,21.7,0,31.4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,9.3258,9.5714,0.0045,9.5564,41.91,2384.0,Standard
