policy_id,location_zone,roof_age,roof_material,home_age,construction_type,prior_water_claim,months_since_water,coverage_a,rcv_ratio,prior_claims_5yr,ins_lapses,swimming_pool,trampoline,home_business,fire_sprinklers,monitored_alarm,gated_community,wood_stove,recent_reno,pet_ownership,square_footage,building_code_comply,fire_hydrant_dist,iso_class,wildfire_score,wildfire_zone,canopy_pct,crime_idx,flood_zone,flood_depth_in,slope_deg,hail_zone,burn_history,foundation_type,ix_roof_wildfire,ix_water_canopy,ix_rcv_crime,ix_flood_foundation,ix_slope_burn,ix_roof_hail,score_t1,score_glm,final_risk_score,expected_loss,indicative_premium,decision
HO-2024000,CO-Mixed,4,asphalt,16,masonry,0,999,205887,1.102,1,0,none,0,home_office,full,1,1,0,0,1,2101,1,3.69,2,36.8,0,15.7,37.2,0,0.0,7.42,1,0,stone_dirt,0,0,0,0,0,0,26.54,27.07,27.26,1547.0,2270.0,Preferred
HO-2024001,MN-North,7,asphalt,14,brick_veneer,0,999,473835,1.009,0,1,none,0,home_office,full,0,0,0,0,0,2658,1,1.37,1,21.8,0,36.9,43.2,0,0.0,4.25,1,0,concrete_slab,0,0,0,0,0,0,23.2,24.4,25.11,1451.0,2130.0,Preferred
HO-2024002,AZ-Desert,21,asphalt,43,wood_frame,0,999,416322,1.045,0,0,above_ground,0,none,none,0,0,0,0,0,999,0,3.88,2,41.0,0,36.7,28.6,0,0.0,9.62,0,0,poured_concrete,0,0,0,0,0,0,38.74,41.73,42.62,2434.0,3740.0,Standard
HO-2024003,NY-NE,7,asphalt,27,brick_veneer,0,999,548429,1.08,3,1,above_ground,0,active_business,none,1,0,0,1,0,2083,0,6.95,4,7.8,0,49.8,49.7,0,0.0,7.98,0,0,concrete_slab,0,0,0,0,0,0,29.32,47.79,49.62,2993.0,4600.0,Standard
HO-2024004,TX-Hail,28,tile,53,wood_frame,0,999,358423,1.04,0,3,none,0,none,none,1,1,0,0,1,700,0,7.35,4,11.6,0,37.9,38.7,0,0.0,14.5,1,0,concrete_slab,0,0,0,0,0,1,47.54,54.37,56.07,3621.0,5570.0,Standard
HO-2024005,TX-Hail,17,metal,18,wood_frame,0,999,395102,1.103,1,0,in_ground,0,none,none,1,0,0,0,1,1884,1,5.76,3,18.7,0,22.0,30.1,1,5.58,15.26,1,0,stone_dirt,0,0,0,1,0,0,33.15,37.27,39.82,2241.0,3450.0,Standard
HO-2024006,CA-Wildfire,18,tile,27,brick_veneer,0,999,168965,1.026,0,1,none,0,none,none,1,0,0,0,1,1952,0,14.78,8,91.3,1,21.9,23.0,0,0.0,20.23,0,0,stone_dirt,0,0,0,0,0,0,38.07,43.05,43.89,2527.0,3890.0,Standard
HO-2024007,GA-SE,15,metal,20,wood_frame,1,34,496968,0.951,1,0,none,0,active_business,partial,0,0,0,0,1,1987,1,6.3,4,17.5,0,42.1,59.3,0,0.0,10.85,0,0,concrete_slab,0,0,0,0,0,0,29.84,36.98,38.04,2126.0,3270.0,Standard
HO-2024008,NY-NE,24,slate,39,wood_frame,0,999,388779,1.057,2,0,in_ground,0,none,none,1,0,0,0,1,1699,0,6.19,4,8.6,0,21.0,54.0,1,3.09,12.02,0,0,stone_dirt,0,0,0,1,0,0,38.98,48.36,49.66,2997.0,4610.0,Standard
HO-2024009,AZ-Desert,25,tile,34,wood_frame,0,999,362612,0.987,1,0,none,0,home_office,full,1,0,0,0,1,1465,0,9.57,5,21.7,0,31.4,42.3,0,0.0,0.0,0,0,poured_concrete,0,0,0,0,0,0,37.84,42.18,41.91,2384.0,3670.0,Standard
HO-2024010,CA-Wildfire,21,asphalt,35,brick_veneer,0,999,347899,1.223,2,1,in_ground,0,none,none,0,0,0,0,0,2478,0,10.55,6,71.5,1,53.3,25.3,0,0.0,4.71,0,0,block,1,0,0,0,0,0,43.72,57.94,61.35,4233.0,7050.0,Rated
HO-2024011,MN-North,23,asphalt,43,wood_frame,0,999,340480,0.96,0,1,none,1,home_office,partial,1,0,0,0,0,1665,0,2.67,2,8.9,0,37.2,39.8,0,0.0,3.9,0,0,stone_dirt,0,0,0,0,0,0,37.73,42.35,42.29,2411.0,3710.0,Standard
HO-2024012,GA-SE,16,slate,35,brick_veneer,0,999,498862,1.42,0,1,none,0,active_business,none,0,0,0,0,0,956,0,4.96,3,18.6,0,44.2,51.2,0,0.0,13.45,0,1,block,0,0,0,0,0,0,32.58,39.42,39.87,2244.0,3450.0,Standard
HO-2024013,TX-Hail,22,metal,31,wood_frame,1,33,250417,1.25,0,0,in_ground,0,active_business,none,1,1,0,0,1,2768,0,7.69,4,9.4,0,12.3,20.6,1,22.65,1.97,0,1,concrete_slab,0,0,0,0,0,0,42.65,45.69,47.98,2851.0,4390.0,Standard
HO-2024014,TX-Hail,14,asphalt,24,wood_frame,0,999,484089,0.861,1,1,none,1,none,none,1,1,0,0,1,2090,0,0.66,1,17.2,0,15.3,61.6,0,0.0,7.5,1,0,concrete_slab,0,0,0,0,0,0,35.56,42.78,44.3,2558.0,3940.0,Standard
HO-2024015,TX-Hail,18,asphalt,38,wood_frame,0,999,155251,1.195,0,1,none,0,home_office,none,0,0,1,0,0,2182,0,6.86,4,21.9,0,36.5,39.2,0,0.0,5.71,0,0,concrete_slab,0,0,0,0,0,0,42.13,48.84,48.72,2915.0,4480.0,Standard
HO-2024016,FL-Flood,15,slate,39,wood_frame,0,999,120000,1.002,0,1,in_ground,0,home_office,full,0,0,0,0,0,2038,0,3.54,2,21.1,0,23.4,12.5,1,12.48,5.29,0,0,block,0,0,0,0,0,0,40.14,43.57,44.0,2536.0,3900.0,Standard
HO-2024017,IL-Midwest,13,asphalt,40,brick_veneer,0,999,577501,1.099,1,0,above_ground,0,home_office,none,1,0,0,1,0,2174,0,0.6,1,2.7,0,13.2,62.9,0,0.0,5.29,1,0,stone_dirt,0,0,0,0,0,0,32.99,38.14,39.5,2220.0,3420.0,Standard
HO-2024018,CO-Mixed,11,asphalt,39,wood_frame,1,2,236796,1.241,2,0,none,0,none,none,0,1,0,0,0,2383,0,10.79,6,55.8,1,25.9,42.9,0,0.0,11.33,1,1,concrete_slab,0,0,0,0,0,0,46.16,55.9,57.07,3730.0,5740.0,Standard
HO-2024019,FL-Flood,22,slate,23,brick_veneer,0,999,394811,0.911,0,1,none,0,none,none,1,1,0,0,1,1821,1,7.34,4,12.7,0,16.1,28.6,0,0.0,0.6,0,0,concrete_slab,0,0,0,0,0,0,39.27,40.11,40.17,2264.0,3480.0,Standard
HO-2024020,NY-NE,29,asphalt,50,brick_veneer,1,27,342479,0.955,1,0,none,0,none,none,0,1,1,0,1,1758,0,6.13,4,4.6,0,44.9,48.0,0,0.0,7.89,0,0,block,0,0,0,0,0,0,47.36,53.32,54.11,3418.0,5260.0,Standard
HO-2024021,TX-Hail,28,tile,54,wood_frame,1,15,428184,1.125,1,0,none,0,active_business,none,0,0,0,1,0,1852,0,2.46,2,11.9,0,22.5,17.7,0,0.0,14.57,1,0,poured_concrete,0,0,0,0,0,1,53.25,60.05,62.73,4408.0,7350.0,Rated
HO-2024022,FL-Flood,6,metal,30,wood_frame,1,21,387195,0.969,0,1,in_ground,1,none,partial,0,0,0,0,1,2112,0,2.46,2,30.5,0,22.3,29.6,0,0.0,1.54,0,0,block,0,0,0,0,0,0,38.53,45.0,47.43,2806.0,4320.0,Standard
HO-2024023,CO-Mixed,29,asphalt,56,masonry,0,999,526021,0.72,1,0,none,0,active_business,full,0,0,0,1,1,2117,0,17.44,9,56.6,1,23.9,24.6,0,0.0,38.26,1,0,block,1,0,0,0,0,1,46.79,55.68,60.85,4170.0,6950.0,Rated
HO-2024024,CO-Mixed,15,asphalt,24,brick_veneer,0,999,179912,1.155,0,0,none,0,none,full,0,0,0,0,1,700,0,3.63,2,28.8,0,35.9,41.4,0,0.0,28.38,1,0,block,0,0,0,0,0,0,35.87,35.25,36.26,2018.0,3100.0,Standard
HO-2024025,WA-NW,23,asphalt,51,masonry,0,999,473930,1.072,0,0,in_ground,0,home_office,full,0,0,0,0,0,2635,0,15.52,8,64.0,1,73.0,54.6,0,0.0,28.98,0,0,block,1,0,0,0,0,0,40.52,44.87,49.53,2986.0,4590.0,Standard
HO-2024026,TX-Hail,9,asphalt,29,wood_frame,0,999,372817,1.017,0,0,in_ground,0,none,partial,0,0,0,0,0,2362,0,4.92,3,17.0,0,15.6,22.0,1,6.21,8.13,1,0,poured_concrete,0,0,0,0,0,0,34.29,35.46,35.97,2000.0,3080.0,Standard
HO-2024027,IL-Midwest,19,slate,30,masonry,0,999,165483,1.038,2,1,none,0,home_office,none,1,0,0,0,0,1347,0,4.48,3,30.1,0,14.8,44.6,1,4.97,13.44,1,0,poured_concrete,0,0,0,0,0,0,31.16,42.46,41.22,2336.0,3590.0,Standard
HO-2024028,NY-NE,20,asphalt,30,wood_frame,0,999,305813,1.333,3,1,above_ground,0,none,none,0,0,0,1,0,1189,0,0.72,1,28.3,0,42.2,75.3,0,0.0,2.29,0,0,poured_concrete,0,0,1,0,0,0,38.61,54.84,56.73,3692.0,5680.0,Standard
HO-2024029,CA-Wildfire,4,asphalt,25,wood_frame,0,999,155455,1.162,0,0,in_ground,0,home_office,none,1,0,1,1,0,1962,0,4.02,3,83.6,1,44.3,38.4,0,0.0,30.34,0,0,concrete_slab,0,0,0,0,0,0,34.28,36.12,35.95,1999.0,3080.0,Standard
HO-2024030,NY-NE,23,asphalt,37,wood_frame,0,999,145748,0.899,3,1,none,1,home_office,none,0,0,1,0,0,790,0,2.84,2,13.4,0,19.7,36.3,0,0.0,9.46,0,0,concrete_slab,0,0,0,0,0,0,39.79,60.26,61.1,4201.0,7000.0,Rated
HO-2024031,TX-Hail,30,asphalt,55,wood_frame,0,999,318871,1.037,1,0,above_ground,0,active_business,none,0,0,1,0,0,1492,0,4.3,3,6.0,0,46.5,11.6,0,0.0,0.0,1,0,poured_concrete,0,0,0,0,0,1,49.8,60.39,60.37,4112.0,6850.0,Rated
HO-2024032,CA-Wildfire,16,asphalt,43,brick_veneer,0,999,546087,1.186,0,0,none,1,home_office,none,0,0,0,0,0,2139,0,16.97,9,90.1,1,33.0,14.5,0,0.0,28.03,0,1,concrete_slab,0,0,0,0,1,0,43.02,51.77,55.94,3607.0,5550.0,Standard
HO-2024033,MN-North,30,tile,33,wood_frame,0,999,423767,1.183,1,0,none,0,none,none,1,0,0,0,0,949,0,2.67,2,6.4,0,46.0,24.1,0,0.0,0.0,1,0,poured_concrete,0,0,0,0,0,1,39.72,42.59,42.1,2397.0,3690.0,Standard
HO-2024034,MN-North,16,asphalt,20,brick_veneer,0,999,561912,0.81,0,0,in_ground,0,active_business,none,1,0,0,0,0,2480,1,7.79,4,21.4,0,39.7,43.4,1,17.9,3.17,1,0,poured_concrete,0,0,0,0,0,0,28.69,31.71,32.32,1796.0,2760.0,Standard
