policy_id,location_zone,roof_age,roof_material,home_age,construction_type,prior_water_claim,months_since_water,coverage_a,rcv_ratio,prior_claims_5yr,ins_lapses,swimming_pool,trampoline,home_business,fire_sprinklers,monitored_alarm,gated_community,wood_stove,recent_reno,pet_ownership,square_footage,building_code_comply,fire_hydrant_dist,iso_class,wildfire_score,wildfire_zone,canopy_pct,crime_idx,flood_zone,flood_depth_in,slope_deg,hail_zone,burn_history,foundation_type,ix_roof_wildfire,ix_water_canopy,ix_rcv_crime,ix_flood_foundation,ix_slope_burn,ix_roof_hail,score_t1,score_glm,final_risk_score,expected_loss,indicative_premium,decision
HO-2024000,CO-Mixed,10,tile,39,wood_frame,1,3,538273,1.125,0,0,above_ground,0,none,partial,1,0,1,0,0,2054,0,4.81,3,52.1,0,30.0,28.2,0,0.0,20.35,0,1,concrete_slab,0,0,0,0,1,0,43.18,44.19,45.87,2679.0,4120.0,Standard
HO-2024001,MN-North,10,asphalt,16,masonry,0,999,384312,1.023,1,0,none,0,none,none,0,1,0,0,0,2263,1,7.71,4,10.6,0,49.2,0.0,1,3.79,7.23,1,0,concrete_slab,0,0,0,0,0,0,24.26,27.93,27.83,1573.0,2310.0,Preferred
HO-2024002,AZ-Desert,15,asphalt,15,wood_frame,0,999,595705,1.02,0,0,in_ground,0,active_business,none,0,0,0,0,1,818,1,8.4,5,34.1,0,13.0,17.1,1,5.52,0.66,0,0,concrete_slab,0,0,0,0,0,0,29.95,35.43,34.35,1907.0,2930.0,Standard
HO-2024003,NY-NE,21,asphalt,27,masonry,0,999,306292,0.942,1,0,none,0,home_office,none,0,0,0,0,0,920,0,2.61,2,16.3,0,32.2,33.1,0,0.0,13.24,0,0,poured_concrete,0,0,0,0,0,0,35.15,41.38,42.64,2436.0,3750.0,Standard
HO-2024004,TX-Hail,26,asphalt,51,wood_frame,1,31,319128,1.058,0,0,none,0,none,none,1,0,0,0,1,1694,0,4.21,3,24.4,0,40.9,22.5,0,0.0,10.55,1,0,concrete_slab,0,0,0,0,0,1,49.79,49.58,51.41,3156.0,4860.0,Standard
HO-2024005,TX-Hail,10,asphalt,33,superior,0,999,494183,1.172,1,0,in_ground,0,home_office,full,0,0,0,0,0,2555,0,1.78,1,14.5,0,33.3,10.6,0,0.0,8.95,0,0,poured_concrete,0,0,0,0,0,0,34.87,39.32,40.41,2281.0,3510.0,Standard
HO-2024006,CA-Wildfire,31,tile,41,brick_veneer,1,17,152783,0.922,0,0,in_ground,0,none,partial,0,0,0,1,1,2458,0,3.26,2,66.9,1,25.6,16.1,0,0.0,20.22,0,0,block,1,0,0,0,0,0,52.66,53.17,57.61,3790.0,5830.0,Standard
HO-2024007,GA-SE,15,asphalt,23,masonry,1,19,210115,0.805,0,0,none,0,none,none,0,0,0,1,1,2855,1,3.89,2,7.1,0,73.6,44.5,0,0.0,2.7,0,0,poured_concrete,0,1,0,0,0,0,34.22,34.34,38.39,2148.0,3310.0,Standard
HO-2024008,NY-NE,17,tile,28,wood_frame,0,999,533647,1.118,0,0,none,0,none,none,0,0,0,0,0,1574,0,4.86,3,12.6,0,42.2,66.0,0,0.0,10.8,0,0,block,0,0,0,0,0,0,34.22,35.91,37.73,2107.0,3240.0,Standard
HO-2024009,AZ-Desert,11,metal,13,wood_frame,0,999,215929,1.065,0,0,none,0,none,none,0,0,0,1,1,2614,1,4.18,3,43.5,0,12.9,24.1,0,0.0,4.04,0,0,poured_concrete,0,0,0,0,0,0,24.99,25.1,25.08,1450.0,2130.0,Preferred
HO-2024010,CA-Wildfire,0,asphalt,5,wood_frame,0,999,125332,0.863,0,0,none,0,home_office,none,0,0,0,1,1,3247,1,12.87,7,77.2,1,28.0,34.0,0,0.0,36.09,1,0,concrete_slab,0,0,0,0,0,0,26.46,30.24,31.25,1740.0,2680.0,Standard
HO-2024011,MN-North,25,asphalt,28,superior,1,29,641593,0.917,1,0,none,0,none,none,0,1,0,0,0,2794,0,6.31,4,28.6,0,25.0,27.8,0,0.0,3.59,1,0,concrete_slab,0,0,0,0,0,1,35.85,40.36,41.51,2356.0,3620.0,Standard
HO-2024012,GA-SE,24,asphalt,51,brick_veneer,1,14,184865,0.9,1,0,none,1,home_office,none,1,0,0,0,0,1130,0,2.16,2,7.9,0,37.9,44.0,0,0.0,15.9,0,0,concrete_slab,0,0,0,0,0,0,45.26,52.44,53.01,3308.0,5090.0,Standard
